log_id	receipt_id	date	start_time	end_time	duration_min	customer_name	service_name	price	staff_phone	staff_id	staff_name	role_in_tour	commission_pct	commission_amount	tip_amount	total_earned	payment_method	created_at
HD082703_S1	HD082703	2026-08-27	18:00	18:45	45	Anh Thành Đạt	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/27 - 18:45
HD082801_S1	HD082801	2026-08-28	11:00	11:45	45	Chị Minh Thư	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	12.800 đ	20.000 đ	12.800 đ	Chuyển khoản	2026/08/28 - 11:45
HD082802_S1	HD082802	2026-08-28	15:30	16:45	75	Chị Quỳnh Như	Combo 3	149.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	14.900 đ	50.000 đ	14.900 đ	Chuyển khoản	2026/08/28 - 16:45
HD082901_S1	HD082901	2026-08-29	09:15	10:15	60	Chị Thanh Trúc	Combo 2	99.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	9.900 đ	20.000 đ	9.900 đ	Chuyển khoản	2026/08/29 - 10:15
HD082902_S1	HD082902	2026-08-29	11:30	13:00	90	Chị Mai Lan	Combo 4	199.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	9.950 đ	40.000 đ	9.950 đ	Chuyển khoản	2026/08/29 - 13:00
HD082902_S2	HD082902	2026-08-29	11:30	13:00	90	Chị Mai Lan	Combo 4	199.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	19.900 đ	40.000 đ	19.900 đ	Chuyển khoản	2026/08/29 - 13:00
HD082903_S1	HD082903	2026-08-29	14:00	14:45	45	Anh Nam	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	12.800 đ	50.000 đ	12.800 đ	Chuyển khoản	2026/08/29 - 14:45
HD598052_S1	HD598052	2026-08-29	16:09	16:09	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/29 - 16:09
HD567666_S1	HD567666	2026-08-29	16:24	16:26	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	20.000 đ	6.400 đ	Chuyển khoản	2026/08/29 - 16:26
HD773936_S1	HD773936	2026-08-29	16:46	16:46	0.1	Khách vãng lai	Combo Bé	45.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	4.500 đ	0 đ	4.500 đ	Chuyển khoản	2026/08/29 - 16:46
HD017856_S1	HD017856	2026-08-29	17:01	17:06	5.4	Khách vãng lai	Combo Bé	45.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	2.250 đ	0 đ	2.250 đ	Tiền mặt	2026/08/29 - 17:06
HD017856_S2	HD017856	2026-08-29	17:01	17:06	5.4	Khách vãng lai	Combo Bé	45.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	0 đ	0 đ	0 đ	Tiền mặt	2026/08/29 - 17:06
HD035489_S1	HD035489	2026-08-29	17:07	17:07	0.1	Khách vãng lai	Combo Bé	45.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	4.500 đ	0 đ	4.500 đ	Tiền mặt	2026/08/29 - 17:07
HD179535_S1	HD179535	2026-08-29	17:07	17:09	1.9	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Tiền mặt	2026/08/29 - 17:09
HD179535_S2	HD179535	2026-08-29	17:07	17:09	1.9	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	0 đ	0 đ	0 đ	Tiền mặt	2026/08/29 - 17:09
HD311473_S1	HD311473	2026-08-29	17:11	17:11	0.1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Tiền mặt	2026/08/29 - 17:11
HD311473_S2	HD311473	2026-08-29	17:11	17:11	0.1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	5.760 đ	0 đ	5.760 đ	Tiền mặt	2026/08/29 - 17:11
HD372440_S1	HD372440	2026-08-29	17:12	17:12	0.1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	2.000 đ	640 đ	Tiền mặt	2026/08/29 - 17:12
HD372440_S2	HD372440	2026-08-29	17:12	17:12	0.1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	5.760 đ	18.000 đ	5.760 đ	Tiền mặt	2026/08/29 - 17:12
HD325772_S1	HD325772	2026-08-29	17:19	17:27	8.5	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	5.000 đ	640 đ	Tiền mặt	2026/08/29 - 17:28
HD325772_S2	HD325772	2026-08-29	17:19	17:27	8.5	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	5.760 đ	10.000 đ	5.760 đ	Tiền mặt	2026/08/29 - 17:28
HD390208_S1	HD390208	2026-08-29	17:49	18:19	30.2	Khách vãng lai	Combo Bé	45.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	1.485 đ	0 đ	1.485 đ	Tiền mặt	2026/08/29 - 18:19
HD390208_S2	HD390208	2026-08-29	17:49	18:19	30.2	Khách vãng lai	Combo Bé	45.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	1.485 đ	0 đ	1.485 đ	Tiền mặt	2026/08/29 - 18:19
HD019361_S1	HD019361	2026-08-29	18:24	19:03	39.2	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	3.200 đ	0 đ	3.200 đ	Tiền mặt	2026/08/29 - 19:03
HD019361_S2	HD019361	2026-08-29	18:24	19:03	39.2	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	3.200 đ	0 đ	3.200 đ	Tiền mặt	2026/08/29 - 19:03
HD283680_S1	HD283680	2026-08-30	21:14	21:14	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/30 - 21:14
HD760242_S1	HD760242	2026-08-30	23:02	23:02	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/30 - 23:02
HD081954_S1	HD081954	2026-08-30	23:07	23:07	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/30 - 23:08
HD349514_S1	HD349514	2026-08-31	00:02	00:02	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/31 - 00:02
HD388010_S1	HD388010	2026-08-31	00:02	00:03	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 00:03
HD419586_S1	HD419586	2026-08-31	00:03	00:03	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/31 - 00:03
HD429230_S1	HD429230	2026-08-31	00:03	00:03	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 00:03
HD439604_S1	HD439604	2026-08-31	00:03	00:03	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/31 - 00:04
HD460627_S1	HD460627	2026-08-31	00:04	00:04	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 00:04
HD203405_S1	HD203405	2026-08-31	00:16	00:16	1	Đại Ca	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 00:16
HD249627_S1	HD249627	2026-08-31	13:34	13:37	3	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Tiền mặt	2026/08/31 - 13:37
HD249627_S2	HD249627	2026-08-31	13:34	13:37	3	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Tiền mặt	2026/08/31 - 13:37
HD294064_S1	HD294064	2026-08-31	13:34	13:38	4	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Tiền mặt	2026/08/31 - 13:38
HD294064_S2	HD294064	2026-08-31	13:34	13:38	4	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Tiền mặt	2026/08/31 - 13:38
HD305465_S1	HD305465	2026-08-31	13:34	13:38	4	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Tiền mặt	2026/08/31 - 13:38
HD305465_S2	HD305465	2026-08-31	13:34	13:38	4	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Tiền mặt	2026/08/31 - 13:38
HD326006_S1	HD326006	2026-08-31	13:34	13:38	5	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Chuyển khoản	2026/08/31 - 13:38
HD326006_S2	HD326006	2026-08-31	13:34	13:38	5	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Chuyển khoản	2026/08/31 - 13:38
HD563474_S1	HD563474	2026-08-31	13:42	13:42	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Chuyển khoản	2026/08/31 - 13:42
HD563474_S2	HD563474	2026-08-31	13:42	13:42	1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Chuyển khoản	2026/08/31 - 13:42
HD801089_S1	HD801089	2026-08-31	13:46	13:46	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Tiền mặt	2026/08/31 - 13:46
HD801089_S2	HD801089	2026-08-31	13:46	13:46	1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Tiền mặt	2026/08/31 - 13:46
HD848482_S1	HD848482	2026-08-31	13:47	13:47	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	3.200 đ	0 đ	3.200 đ	Chuyển khoản	2026/08/31 - 13:47
HD848482_S2	HD848482	2026-08-31	13:47	13:47	1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 13:47
HD879373_S1	HD879373	2026-08-31	13:47	13:47	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	3.264 đ	0 đ	3.264 đ	Chuyển khoản	2026/08/31 - 13:48
HD879373_S2	HD879373	2026-08-31	13:47	13:47	1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	6.272 đ	0 đ	6.272 đ	Chuyển khoản	2026/08/31 - 13:48
HD923952_S1	HD923952	2026-08-31	13:48	13:48	1	Chị Dui	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Chuyển khoản	2026/08/31 - 13:48
HD923952_S2	HD923952	2026-08-31	13:48	13:48	1	Chị Dui	Combo 1	64.000 đ	912345678	KTV01	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Chuyển khoản	2026/08/31 - 13:48
HD183366_S1	HD183366	2026-08-31	13:52	13:53	1	chị Dui	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Tiền mặt	2026/08/31 - 13:53
HD183366_S2	HD183366	2026-08-31	13:52	13:53	1	chị Dui	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Tiền mặt	2026/08/31 - 13:53
HD365082_S1	HD365082	2026-08-31	13:55	13:56	1	Anh đầu trọc	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	640 đ	0 đ	640 đ	Chuyển khoản	2026/08/31 - 13:56
HD365082_S2	HD365082	2026-08-31	13:55	13:56	1	Anh đầu trọc	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	11.520 đ	0 đ	11.520 đ	Chuyển khoản	2026/08/31 - 13:56
HD709932_S1	HD709932	2026-08-31	14:01	14:01	1	Khách vãng lai	Combo 3	139.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	1.390 đ	0 đ	1.390 đ	Tiền mặt	2026/08/31 - 14:01
HD709932_S2	HD709932	2026-08-31	14:01	14:01	1	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	25.020 đ	0 đ	25.020 đ	Tiền mặt	2026/08/31 - 14:01
HD820992_S1	HD820992	2026-08-31	14:03	14:03	1	Anh đầu vuông	Combo 4	179.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	1.790 đ	0 đ	1.790 đ	Chuyển khoản	2026/08/31 - 14:03
HD820992_S2	HD820992	2026-08-31	14:03	14:03	1	Anh đầu vuông	Combo 4	179.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	32.220 đ	0 đ	32.220 đ	Chuyển khoản	2026/08/31 - 14:03
HD063847_S1	HD063847	2026-08-31	14:07	14:07	1	Khách vãng lai	Combo 3	139.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	1.390 đ	0 đ	1.390 đ	Chuyển khoản	2026/08/31 - 14:07
HD063847_S2	HD063847	2026-08-31	14:07	14:07	1	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	25.020 đ	0 đ	25.020 đ	Chuyển khoản	2026/08/31 - 14:07
HD170129_S1	HD170129	2026-08-31	14:09	14:09	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 14:09
HD283070_S1	HD283070	2026-08-31	14:11	14:11	1	Khách vãng lai	Combo 5	219.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	21.900 đ	0 đ	21.900 đ	Chuyển khoản	2026/08/31 - 14:11
HD334676_S1	HD334676	2026-08-31	14:11	14:12	1	Khách vãng lai	Combo 5	219.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	2.190 đ	0 đ	2.190 đ	Tiền mặt	2026/08/31 - 14:12
HD334676_S2	HD334676	2026-08-31	14:11	14:12	1	Khách vãng lai	Combo 5	219.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	39.420 đ	0 đ	39.420 đ	Tiền mặt	2026/08/31 - 14:12
HD389508_S1	HD389508	2026-08-31	14:13	14:13	1	Khách vãng lai	Combo 4	179.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	35.800 đ	0 đ	35.800 đ	Tiền mặt	2026/08/31 - 14:13
HD432048_S1	HD432048	2026-08-31	14:13	14:13	1	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	27.800 đ	0 đ	27.800 đ	Chuyển khoản	2026/08/31 - 14:13
HD491763_S1	HD491763	2026-08-31	14:14	14:14	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 14:14
HD519717_S1	HD519717	2026-08-31	14:15	14:15	1	Khách vãng lai	Combo 5	219.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	21.900 đ	0 đ	21.900 đ	Chuyển khoản	2026/08/31 - 14:15
HD543229_S1	HD543229	2026-08-31	14:15	14:15	1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	12.800 đ	0 đ	12.800 đ	Tiền mặt	2026/08/31 - 14:15
HD591334_S1	HD591334	2026-08-31	14:16	14:16	1	Khách vãng lai	Combo 4	179.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	50%	3.580 đ	0 đ	3.580 đ	Tiền mặt	2026/08/31 - 14:16
HD591334_S2	HD591334	2026-08-31	14:16	14:16	1	Khách vãng lai	Combo 4	179.000 đ	799625591	KTV01	Thu Ngân	KTV 2 (Cùng làm)	50%	16.110 đ	0 đ	16.110 đ	Tiền mặt	2026/08/31 - 14:16
HD672185_S1	HD672185	2026-08-31	14:17	14:17	1	Khách vãng lai	Combo 1	64.000 đ	949251144	FOUNDER_01	Miles (Đấng tối cao)	KTV 1 (Chính)	100%	64.000 đ	0 đ	64.000 đ	Chuyển khoản	2026/08/31 - 14:17
HD049691_S1	HD049691	2026-08-31	14:23	14:23	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	6.400 đ	0 đ	6.400 đ	Chuyển khoản	2026/08/31 - 14:24
HD106210_S1	HD106210	2026-08-31	14:25	14:25	1	Khách vãng lai	Combo 2	109.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	21.800 đ	0 đ	21.800 đ	Tiền mặt	2026/08/31 - 14:25
HD178353_S1	HD178353	2026-08-31	14:26	14:26	1	Khách vãng lai	Combo 3	139.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	1.390 đ	0 đ	1.390 đ	Chuyển khoản	2026/08/31 - 14:26
HD178353_S2	HD178353	2026-08-31	14:26	14:26	1	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	25.020 đ	0 đ	25.020 đ	Chuyển khoản	2026/08/31 - 14:26
HD260193_S1	HD260193	2026-08-31	14:27	14:27	1	Khách vãng lai	Combo 4	179.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	8.950 đ	0 đ	8.950 đ	Tiền mặt	2026/08/31 - 14:27
HD260193_S2	HD260193	2026-08-31	14:27	14:27	1	Khách vãng lai	Combo 4	179.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	17.900 đ	0 đ	17.900 đ	Tiền mặt	2026/08/31 - 14:27
HD434126_S1	HD434126	2026-08-31	14:29	14:30	1	Khách vãng lai	Combo 1	64.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	3.200 đ	0 đ	3.200 đ	Tiền mặt	2026/08/31 - 14:30
HD434126_S2	HD434126	2026-08-31	14:29	14:30	1	Khách vãng lai	Combo 1	64.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	6.400 đ	0 đ	6.400 đ	Tiền mặt	2026/08/31 - 14:30
HD608606_S1	HD608606	2026-08-31	14:48	14:50	1	Khách vãng lai	Combo 5	219.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	21.900 đ	0 đ	21.900 đ	Tiền mặt	2026/08/31 - 14:50
HD613497_S1	HD613497	2026-08-31	14:49	14:50	1	Khách vãng lai	Combo 4	179.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	35.800 đ	0 đ	35.800 đ	Chuyển khoản	2026/08/31 - 14:50
HD817474_S1	HD817474	2026-08-31	14:50	14:53	2	Khách vãng lai	Combo 3	139.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	6.950 đ	0 đ	6.950 đ	Tiền mặt	2026/08/31 - 14:53
HD817474_S2	HD817474	2026-08-31	14:50	14:53	2	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	13.900 đ	0 đ	13.900 đ	Tiền mặt	2026/08/31 - 14:53
HD822317_S1	HD822317	2026-08-31	14:50	14:53	3	Khách vãng lai	Combo 3	139.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	50%	6.950 đ	0 đ	6.950 đ	Tiền mặt	2026/08/31 - 14:53
HD822317_S2	HD822317	2026-08-31	14:50	14:53	3	Khách vãng lai	Combo 3	139.000 đ	912345678	KTV02	Mai Lan	KTV 2 (Cùng làm)	50%	13.900 đ	0 đ	13.900 đ	Tiền mặt	2026/08/31 - 14:53
HD957898_S1	HD957898	2026-08-31	14:55	14:55	1	Khách vãng lai	Combo 1	64.000 đ	949251144	FOUNDER_01	Miles (Đấng tối cao)	KTV 1 (Chính)	100%	64.000 đ	0 đ	64.000 đ	Chuyển khoản	2026/08/31 - 14:55
HD002447_S1	HD002447	2026-08-31	14:56	14:56	1	Khách vãng lai	Combo 1	64.000 đ	949251144	FOUNDER_01	Miles (Đấng tối cao)	KTV 1 (Chính)	100%	64.000 đ	0 đ	64.000 đ	Chuyển khoản	2026/08/31 - 14:56
HD502143_S1	HD502143	2026-08-31	15:04	15:04	1	Khách vãng lai	Combo 2	109.000 đ	799625591	KTV01	Thu Ngân	KTV 1 (Chính)	100%	10.900 đ	0 đ	10.900 đ	Chuyển khoản	2026/08/31 - 15:05
HD505421_S1	HD505421	2026-08-31	15:04	15:05	1	Khách vãng lai	Combo 2	109.000 đ	912345678	KTV02	Mai Lan	KTV 1 (Chính)	100%	21.800 đ	0 đ	21.800 đ	Chuyển khoản	2026/08/31 - 15:05
